pV_FFA_P_inst;pV_DACH_P_inst;storage_ffa_E_max;storage_dach_E_max;Wind_P_el_n;CAPEX;one_minus_oa_times_oc
49543815.33867235;4366954.215704789;172227042665.7245;28475662943.08142;1260576.7347240625;43607416.65960779;0.45390744545106343
95829628.20909527;9597315.630209891;119816285039.61755;25394832630.080475;15217408.21245493;79108706.26158866;0.2028633921842966
2444374.392685705;17593468.25295947;19214974613.727203;59161848147.7817;8661740.878028825;34596383.05133402;0.32535662081617345
77389983.41359669;3209444.0253815237;104018145992.93013;56389626489.92796;11250323.753871664;63952857.004125275;0.23591774977305957
73676574.46301831;7692367.4670243645;175270137927.90286;40721215490.301254;721140.9784251549;60464464.69088883;0.45385650879157335
39729021.6703374;12274574.847339258;134301267228.02907;25774395427.653366;9577252.724288227;50362983.881122045;0.2663483557738331
75773489.0644977;3729148.4724148684;159252321431.85797;32865991160.451805;9065611.190613668;61827173.582789935;0.2571702318029033
88035600.42949282;10820467.202020632;79744674766.74971;38293255925.0144;2748312.55809567;66648269.31196578;0.373457910274413
55748510.4433902;19452253.76234996;76216928568.26607;17807260087.619564;16350017.111722477;66296526.194909975;0.2043091529834281
86614026.9973141;11579333.255731568;94563607807.79897;21483149712.889774;8697547.574104005;69646811.99552348;0.25642738296851353
68217485.9983953;7942981.442993544;115668686988.44942;25513922640.87216;8238566.793404031;58200288.07005698;0.26901751175008415
25634445.141343027;7676149.9672789825;60008284842.08235;12768088072.555534;5329939.6898283735;29597966.473292395;0.3517542619586518
32582719.449815523;4633410.746953148;106881939584.37766;31438062428.268578;2523763.5396522325;33121876.218547255;0.4280096758323253
44430633.24090363;19444832.94146437;142858382420.64468;14555655290.451012;5280234.1379646;55578520.756876975;0.3215644194792445
28319720.04624573;18192948.726772748;93931351446.44862;29281196087.028946;723115.1050713902;42180386.28225587;0.4851777095622207
28587507.356541935;842034.2194011798;95846109415.45934;68238777618.41403;5608215.429015967;34144341.328406036;0.3506742320771582
