Wind_P_el_n;pV_P_inst;storage_E_max;OC;OA
5700000.0;5608565.322553315;130596296762.0277;0.9901454782751504;0.38292209014152756
5700000.0;3778279.575806734;322443744314.25446;0.9999999449318085;0.3420996798917865
5700000.0;6385792.942866822;64758831712.150505;0.9756288417009593;0.40102386266510814
5700000.0;14232952.811674284;213283177065.42313;0.9321982064035249;0.6346908803262278
5700000.0;18385635.085569456;162745674012.72565;0.8398598365953994;0.7536534031302102
5700000.0;11325153.89979413;98674501844.5926;0.9340702555112469;0.5449582281721743
5700000.0;19000472.509770762;4188905646.3726835;0.7227931193469245;0.7447256019713572
5700000.0;790380.9144907624;90681010532.0419;0.9854836521487201;0.247489855936191
5700000.0;1260102.6457253129;214537430730.6783;0.999517713150858;0.26689046345565354
5700000.0;2645922.425113912;284841337375.0215;0.999999949100616;0.3087859572682151
5700000.0;5940004.186758922;349535993354.5945;0.9997010975116802;0.40351960303678247
5700000.0;19198892.544646673;275812593217.9478;0.8743367062099323;0.7820899775502609
5700000.0;2076571.7950885666;125124228560.80084;0.9925119840373193;0.28482324513242324
5700000.0;19106658.20912289;231494100329.36935;0.8586960336339874;0.7777036984216252
5700000.0;2190717.2075927397;10656320949.519802;0.9629424336704013;0.2800987515619076
5700000.0;12675997.977096444;12394580265.670918;0.8577836252303926;0.5733161982842174
5700000.0;11072007.43682853;134789738580.53366;0.9527686415933031;0.5393791200536028
5700000.0;17174702.803553328;50836740484.531784;0.7950582871160327;0.708943449434231
5700000.0;20221149.564355392;288254277551.7589;0.8615919213099752;0.8122053968988162
5700000.0;9626906.533254882;171019256161.04758;0.9801605329445108;0.4989068232138703
5700000.0;4527254.609116362;20376042712.269592;0.9667959553331228;0.34591787058602774
5700000.0;14562175.089799587;329835918463.3467;0.9601803679648611;0.6487718152324378
5700000.0;15295347.958512554;192978492786.04108;0.9077091217730078;0.6649860565249515
5700000.0;8429558.166642088;200359289933.361;0.9906178177070691;0.4656893937144635
5700000.0;20574744.430070747;184359763400.96603;0.8121211261776428;0.8181098247720311
5700000.0;6307947.473862931;295446556364.3927;0.9988742915773831;0.4108306228377838
5700000.0;4157570.1121646375;244388427873.87848;0.9996737401328449;0.34843613863786543
5700000.0;4081540.4268222186;356304436379.77563;0.9999999499698955;0.3523527795083657
5700000.0;7621777.809959531;176804331460.455;0.9907614662810359;0.4416643041737829
5700000.0;2420318.4816582347;202579899462.72437;0.9991840617450345;0.29827356801899024
5700000.0;1097958.0509098712;141668718232.7262;0.9942991264183962;0.258685479436768
5700000.0;12890936.501391439;110257076175.4247;0.912660183519632;0.5910702694713438
5700000.0;11103252.761538334;324975729801.63727;0.9903521195347548;0.5480086968266492
